epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
150,74027.6,0.74875,0.82585,1.22576,0.90496,0.85101,0.90957,0.6946,0.88357,0.89487,1.39382,0.000155319,0.000155319,0.000155319
151,74518,0.74392,0.81721,1.22125,0.90455,0.85189,0.90963,0.69499,0.88317,0.89425,1.39385,0.000154,0.000154,0.000154
152,75009.1,0.74358,0.82378,1.22243,0.90585,0.85087,0.9098,0.69532,0.88344,0.89438,1.39521,0.000152681,0.000152681,0.000152681
153,75500.3,0.74145,0.80995,1.21895,0.90744,0.84918,0.90994,0.69574,0.88245,0.89371,1.39453,0.000151361,0.000151361,0.000151361
154,75991.7,0.74086,0.81878,1.21957,0.89249,0.86248,0.91014,0.69598,0.88163,0.89207,1.39437,0.000150042,0.000150042,0.000150042
155,76484.9,0.73663,0.8101,1.21405,0.88973,0.86351,0.91029,0.69631,0.88155,0.89098,1.39491,0.000148724,0.000148724,0.000148724
156,76976.3,0.74045,0.82387,1.21938,0.89191,0.86195,0.91029,0.69641,0.88111,0.89146,1.39456,0.000147406,0.000147406,0.000147406
157,77467.5,0.72839,0.78998,1.20858,0.88542,0.87125,0.91041,0.69638,0.88041,0.89173,1.39459,0.000146088,0.000146088,0.000146088
158,77958.3,0.72757,0.79604,1.21277,0.88744,0.87058,0.91046,0.69667,0.87939,0.89043,1.39344,0.000144772,0.000144772,0.000144772
159,78449.2,0.73765,0.81463,1.21918,0.88735,0.86735,0.91008,0.6964,0.87872,0.88944,1.39325,0.000143457,0.000143457,0.000143457
160,78941.6,0.72846,0.79918,1.20811,0.88706,0.87039,0.90997,0.69648,0.87775,0.88917,1.39248,0.000142142,0.000142142,0.000142142
161,79432.2,0.72219,0.79034,1.20466,0.88807,0.86982,0.91048,0.69693,0.87711,0.8882,1.39226,0.000140829,0.000140829,0.000140829
162,79923.6,0.7284,0.811,1.20724,0.88996,0.86719,0.91037,0.6975,0.87687,0.88876,1.39228,0.000139518,0.000139518,0.000139518
163,80414.9,0.72074,0.79225,1.2039,0.88916,0.8669,0.91029,0.69754,0.87647,0.88793,1.39255,0.000138208,0.000138208,0.000138208
164,80905.9,0.72376,0.80076,1.2037,0.88924,0.8657,0.91051,0.69785,0.87598,0.88782,1.39274,0.0001369,0.0001369,0.0001369
165,81399.6,0.71554,0.7874,1.1965,0.88972,0.86628,0.91071,0.69828,0.87568,0.88922,1.39279,0.000135594,0.000135594,0.000135594
166,81891,0.71723,0.789,1.1971,0.88705,0.86957,0.91052,0.69798,0.875,0.88874,1.39245,0.000134289,0.000134289,0.000134289
167,82382,0.70996,0.78059,1.1988,0.88931,0.86581,0.91038,0.69813,0.87456,0.88771,1.39283,0.000132987,0.000132987,0.000132987
168,82873,0.70934,0.77688,1.19853,0.89032,0.86641,0.91034,0.6983,0.87414,0.88569,1.39317,0.000131687,0.000131687,0.000131687
169,83364.7,0.70892,0.77765,1.19173,0.88987,0.86722,0.91054,0.69904,0.87336,0.8844,1.39328,0.00013039,0.00013039,0.00013039
